ParentChannelCode,CrsID,ProjectNumber,Year,Aid_t,FlowName,DonorName,RecipientName,USD_Commitment_Defl,USD_Disbursement_Defl,SectorName,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,ChannelCode,relevance,principal,check,inclusion,employment,intellectual,education,family,advocacy,intellectual2,intellectual.subpurpose,channel,dpo,TopChannelCode,ParentChannelName
23000,2015000715,SRB-15/0021,2018,C01,ODA Grants,Norway,Serbia,,0.00886142,I.6. Other Social Infrastructure & Services,Social Protection,IDEAS-Toward human rights oriented residential care,IDEAS-TOWARD HUMAN RIGHTS ORIENTED RESIDENTIAL CARE,"Improving the quality of life of persons with mental and intelectual disabilities (ID) living in residential institutions and create model for gradual process of deinstitutionalization with full participation of families of people with ID. Partners: Residential Institution Male Pcelice-Kragujevac, Forum of youth with disabilities.",No gender component,Principal disability component,IDEAS - Centre for Research and Social Development,Developing country-based NGO,23000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,Not education,family,advocacy,intellectual,Mixed,IDEAS - Centre For Research And Social Development,Other channel,20000,Developing country-based NGO
23000,2011000067003,SCR.CTR.363922,2018,C01,ODA Grants,EU Institutions,Bosnia and Herzegovina,0,0.0204088,I.6. Other Social Infrastructure & Services,Social Protection,O.P.T.I.O.N. - Overcoming the prejudice and Promoting new Tools for professional Integration Of people with special Needs in Bosnia and Herzegovina an,O.P.T.I.O.N. - OVERCOMING THE PREJUDICE AND PROMOTING NEW TOOLS FOR PROFESSIONAL INTEGRATION OF PEOPLE WITH SPECIAL NEEDS IN BOSNIA AND HERZEGOVINA AN,"The project aims at creating new links among communities, institutions, CSOs and private companies working on social and work integration of people with disabilities in order to promote new tools for social cohesion through start-up of social enterprises.",No gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,inclusion,employment,intellectual,Not education,Not family,Not advocacy,intellectual,Employment,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2018000126,"",2018,C01,ODA Grants,Croatia,Bosnia and Herzegovina,0.00261551,0.00261551,I.6. Other Social Infrastructure & Services,Social Protection,"Project: Sretno Dijete - ANTEA, involves helping to treat a girl with developmental disabilities diagnosed with cerebral palsy","PROJECT: SRETNO DIJETE - ANTEA, INVOLVES HELPING TO TREAT A GIRL WITH DEVELOPMENTAL DISABILITIES DIAGNOSED WITH CEREBRAL PALSY","Project: Sretno Dijete - ANTEA, involves helping to treat a girl with developmental disabilities diagnosed with cerebral palsy",Not screened,Not screened,Association of parents and friends of children with disabilities,Developing country-based NGO,23000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Association Of Parents And Friends Of Children With Disabilities,DPO,20000,Developing country-based NGO
23000,2018000129,"",2018,C01,ODA Grants,Croatia,Bosnia and Herzegovina,0.0188908,0.0188908,I.6. Other Social Infrastructure & Services,Social Protection,Local community lifefor people with disabilities.Supported housing services are intended for all people with intellectual disabilities who need community support.,LOCAL COMMUNITY LIFEFOR PEOPLE WITH DISABILITIES.SUPPORTED HOUSING SERVICES ARE INTENDED FOR ALL PEOPLE WITH INTELLECTUAL DISABILITIES WHO NEED COMMUN,Local community lifefor people with disabilities.Supported housing services are intended for all people with intellectual disabilities who need community support.,Not screened,Not screened,NGO Ku?a nade,Developing country-based NGO,23000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,NGO Ku?a Nade,Other channel,20000,Developing country-based NGO
23000,2013000108003,SCR.CTR.360232,2018,C01,ODA Grants,EU Institutions,Montenegro,0,0.0201088,I.6. Other Social Infrastructure & Services,Social Protection,O.P.T.I.O.N.- Overcoming the prejudice and promoting new tools for professional integration of people with special needs in Bosnia and Herzegovina and,O.P.T.I.O.N.- OVERCOMING THE PREJUDICE AND PROMOTING NEW TOOLS FOR PROFESSIONAL INTEGRATION OF PEOPLE WITH SPECIAL NEEDS IN BOSNIA AND HERZEGOVINA AND,"The project aims at i) increasing cultural exchanges and public awareness on the issue of professional integration of people with special needs ii) promoting new tools for the social cohesion in the cross-border area by providing new professional skills to disabled people and facilitating the start-up of social enterprises in both countries iii) increasing the exchange of information about the existing best practices in the cross-border area among CSOs, Institutions and Professional Associations",No gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,inclusion,employment,intellectual,Not education,Not family,Not advocacy,intellectual,Employment,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2015000139159,SCR.CTR.380031,2018,C01,ODA Grants,EU Institutions,Eritrea,0,0.0723695,I.6. Other Social Infrastructure & Services,Social Protection,Parenting enrichment training for families of children with intellectual and developmental disability,PARENTING ENRICHMENT TRAINING FOR FAMILIES OF CHILDREN WITH INTELLECTUAL AND DEVELOPMENTAL DISABILITY,"The project aims at building the capacity of parents to foster children's holistic development and providing psycho-social and emotional support to families.  The main expected results are:  - Enhanced awareness in dealing with IDD related stigma and discrimination  - Improved understanding and skill to care for children with IDD   - Enhanced networking among parents, association and social service providing agencies  - Enhanced capacity of Association, membership, and scope",Significant gender component,Principal disability component,Developing country-based NGO,Developing country-based NGO,23000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,family,Not advocacy,intellectual,Family,Developing Country-based NGO,Other channel,20000,Developing country-based NGO
23000,2018131142,131142,2018,C01,Private Development Finance,Ford Foundation,India,0.0547699,0.0547699,I.6. Other Social Infrastructure & Services,Social Protection,Samadhan,SAMADHAN,Programme: Beyond. Description: To conduct surveys and health camps for early identification of children with intellectual disabilities and provide affordable and accessible intervention services to the families in the slum areas of National Capital Region.,No gender component,Principal disability component,Samadhan,Developing country-based NGO,23000,Significant,Yes,potential false positive,Not inclusion,Not employment,intellectual,Not education,family,Not advocacy,intellectual,Family,Samadhan,Other channel,20000,Developing country-based NGO
23000,2016001398,313/2016,2018,B01,ODA Grants,Italy,Brazil,0,0.0341209,I.6. Other Social Infrastructure & Services,Social Protection,Stand up and go through,STAND UP AND GO THROUGH,"Stand up and go through - a project  targeted at children and teenagers with disabilities (cerebral, muscular dystrophy, autism, intellectual definiency etc.)  living in Pernambuco : a psycho-pedagogical and educational support for their inclusion in society and  decent living conditions and opportunities",No gender component,Not screened,Associacao PODE - Portadores de Direitos Especiais,Developing country-based NGO,23000,Significant,Yes,potential false positive,inclusion,Not employment,intellectual,education,Not family,Not advocacy,intellectual,Education,Associacao PODE - Portadores De Direitos Especiais,Other channel,20000,Developing country-based NGO
23000,2018002056,27/2017,2018,B01,ODA Grants,Italy,India,0.0628464,0.0320198,I.6. Other Social Infrastructure & Services,Social Protection,Promotion of the development of inclusive and protective activities for children with special needs,PROMOTION OF THE DEVELOPMENT OF INCLUSIVE AND PROTECTIVE ACTIVITIES FOR CHILDREN WITH SPECIAL NEEDS,Promotion of the development of inclusive and protective activities for children with special needs,No gender component,Not screened,Satya Special School,Developing country-based NGO,23000,Principal,Yes,No,inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Satya Special School,DPO,20000,Developing country-based NGO
23000,2018002290,408/2018,2018,B01,ODA Grants,Italy,India,0.0165538,0.0165538,I.6. Other Social Infrastructure & Services,Social Protection,Support for the purchase of a vehicle for the transport of people with physical and mental disabilities,SUPPORT FOR THE PURCHASE OF A VEHICLE FOR THE TRANSPORT OF PEOPLE WITH PHYSICAL AND MENTAL DISABILITIES,The diocese wants to meet the basic  needs of people with disabilities residing in the territory. The financial support given through this project enables them to purchase a vehicle for transportation of people with  physical and mental  disabilities.,No gender component,Not screened,Diocese of Pathanamthitta,Developing country-based NGO,23000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Diocese Of Pathanamthitta,Other channel,20000,Developing country-based NGO
23000,2018000148,n.a.,2018,B01,Private Development Finance,Oak Foundation,India,0.33868,0.33868,I.6. Other Social Infrastructure & Services,Social Protection,ANJALI,ANJALI,"Programme: India. Sub-programme: .  Description: To provide core support to ANJALI, an organisation based in West Bengal working to build the capacities of women with mental illnesses and psycho-social disabilities, so they can live dignified lives as full citizens. This grant will also: scale up alternatives to long-term hospitalisation for mentally ill women; advocate for recognition and proper responses to mental illness issues within India's mainstream health system; and raise the voices of marginalised people with mental illness to claim their rights to a professional and inclusive system of care and treatment.. Total grant amount: USD 343.391 thousand.",Principal gender component,Principal disability component,ANJALI,Developing country-based NGO,23000,Significant,Yes,potential false positive,inclusion,employment,intellectual,Not education,Not family,advocacy,intellectual,Mixed,ANJALI,Other channel,20000,Developing country-based NGO
23000,2016001265,108/2016,2018,B01,ODA Grants,Italy,Cambodia,0,0.0894731,I.6. Other Social Infrastructure & Services,Social Protection,Improve the quality of life of people with mental disabilities,IMPROVE THE QUALITY OF LIFE OF PEOPLE WITH MENTAL DISABILITIES,Improve the quality of life of people with mental disabilities,No gender component,Not screened,Developing country-base NGO,Developing country-based NGO,23000,Principal,Yes,No,Not inclusion,Not employment,intellectual,Not education,Not family,Not advocacy,intellectual,Other,Developing Country-base NGO,Other channel,20000,Developing country-based NGO
